t,mach,variant,repeat,dt,n_steps_total,tol,steps_to_tol,speedup,per_step_ms,per_step_ms_raw,time_to_tol_s,wall_time_s,rel_min,cd,cl,deltaS,init_repair_count,init_rho_min,init_p_min,tag
0.7,2.35,Linear,0,0.00034014409175142646,11760,3.3623330637055915e-05,50,57.5,0.8914315984362647,0.892623326405376,0.04457157992181324,10.497250318527222,5.859893008164363e-06,0.013704226352274418,0.0004212432831991464,0.04291590303182602,0,0.7695918262004853,0.7193917512893677,ws_ffd_t0.70_Linear
0.7,2.35,cold,0,0.00034014409175142646,11760,3.3623330637055915e-05,2875,1.0,0.8914315984362647,1.1242616947005395,2.5628658455042608,13.221317529678345,5.98571750742849e-06,0.013712753541767597,0.0005012718611396849,0.04320370778441429,,,,ws_ffd_t0.70_cold
0.8,2.4,BaryCDI,0,0.00033549609361216426,11923,3.3623330637055915e-05,55,52.45454545454545,0.8894337170437799,0.8894337170437799,0.04891885443740789,10.604718208312988,8.40972916194005e-06,0.013338293880224228,0.00046347154420800507,0.044235959649086,0,0.771534661852226,0.7155110653434916,ws_ffd_t0.80_BaryCDI
0.8,2.4,FFD,0,0.00033549609361216426,11923,3.3623330637055915e-05,50,57.7,0.8894337170437799,0.8924240375298997,0.044471685852189,10.640371799468994,8.68201459525153e-06,0.013341671787202358,0.000495838699862361,0.04440478980541229,0,0.771383641935141,0.7156188696601337,ws_ffd_t0.80_FFD
0.8,2.4,Linear,0,0.00033549609361216426,11923,3.3623330637055915e-05,15,192.33333333333334,0.8894337170437799,0.8916002206531215,0.0133415057556567,10.630549430847168,8.316418643516954e-06,0.013334006071090698,0.00040427345084026456,0.04424211010336876,0,0.7666506290435791,0.7153405070304867,ws_ffd_t0.80_Linear
0.8,2.4,cold,0,0.00033549609361216426,11923,3.3623330637055915e-05,2885,1.0,0.8894337170437799,1.1532518434352566,2.566016273671305,13.750221729278564,8.492791494063567e-06,0.01334459986537695,0.00047307860222645104,0.044459450989961624,,,,ws_ffd_t0.80_cold
0.9,2.45,BaryCDI,0,0.0003309739986434579,12086,3.3623330637055915e-05,30,94.66666666666667,0.8821183436165064,0.8821183436165064,0.026463550308495194,10.661282300949097,6.240372840693453e-06,0.01298842765390873,0.00044725119369104505,0.04575367271900177,0,0.7672742216703399,0.7113813289491212,ws_ffd_t0.90_BaryCDI
0.9,2.45,FFD,0,0.0003309739986434579,12086,3.3623330637055915e-05,30,94.66666666666667,0.8821183436165064,0.8862746505573177,0.026463550308495194,10.711515426635742,6.080505499994615e-06,0.01298750750720501,0.00043968489626422524,0.04586504027247429,0,0.7674826437750031,0.7114380238489503,ws_ffd_t0.90_FFD
0.9,2.45,Linear,0,0.0003309739986434579,12086,3.3623330637055915e-05,5,568.0,0.8821183436165064,0.8854065709963906,0.004410591718082532,10.701023817062378,5.910497293371009e-06,0.012988564558327198,0.0004426550294738263,0.04570235311985016,0,0.7637094318866731,0.7112892627716063,ws_ffd_t0.90_Linear
0.9,2.45,cold,0,0.0003309739986434579,12086,3.3623330637055915e-05,2840,1.0,0.8821183436165064,1.1523996148305915,2.5052160958708782,13.92790174484253,6.396975095412927e-06,0.012991293333470821,0.00041374817374162376,0.045907989144325256,,,,ws_ffd_t0.90_cold
