hmode,h,axis,aoa,n_cells,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_cd_err_mean,Linear_cd_err_mean,FFD_cd_err_mean,BaryCDI_cl_err_mean,Linear_cl_err_mean,FFD_cl_err_mean,BaryCDI_cl_abs_max,Linear_cl_abs_max,FFD_cl_abs_max,cd_ref_mean,cl_ref_mean,ffd_backfilled,BaryCDI_l2band_mean,Linear_l2band_mean,FFD_l2band_mean,BaryCDI_dbeta_mean,Linear_dbeta_mean,FFD_dbeta_mean,BaryCDI_sharpness,Linear_sharpness,FFD_sharpness,BaryCDI_rh_mean,Linear_rh_mean,FFD_rh_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_res_l2,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
det,0.025,mach,0.0,20190,ffd,0.002,8,0.004100014443227343,0.008375427552293764,0.0020305250872881546,0.15850979713988256,0.12418022155761754,0.12133426887812693,0.031493144646295476,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102.8845150261186,0.2552366522140801,103.13975167833269,26.95681677898392,0.20992197608575225,27.166738755069673,0.001038155984133482,0.0010884720832109451,0.4672942589968443,9.562424452269624e-08,nan,True,639,102.8845150261186,55,86,0.011016180382371194,5.356543820634953e+39,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.002
det,0.025,mach,0.0,20190,ffd,0.005,7,0.004753065383333913,0.008375427552293764,0.0020305250872881546,0.17287805460462025,0.12418022155761754,0.12133426887812693,0.033044519153110956,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.87074379622936,0.2742023807950318,97.1449461770244,26.242443122901022,0.17325715674087405,26.415700279641896,0.0008870768360793591,0.001082311850041151,0.44943212205544114,9.759055075164724e-08,nan,True,369,96.87074379622936,0,0,0.016908009928181287,2.0515539837167813e+20,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.005
det,0.025,mach,0.0,20190,ffd,0.01,6,0.005827614743810126,0.008375427552293764,0.0020305250872881546,0.1883998974448673,0.12418022155761754,0.12133426887812693,0.0407172195109968,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,89.95936149699264,0.2685462550143711,90.22790775200701,25.810721758985892,0.17417621801723726,25.98489797700313,0.0008407779969274998,0.0011136389803141356,0.4446836900024209,9.624071140024171e-08,nan,True,194,89.95936149699264,0,0,0.01738088238033206,26959701315.497734,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.01
det,0.025,mach,0.0,20190,ffd,0.02,5,0.007678784718230691,0.008375427552293764,0.0020305250872881546,0.19803033050591168,0.12418022155761754,0.12133426887812693,0.060289562545134734,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,83.57159472629428,0.29219004791229963,83.86378477420658,29.065551387146115,0.21307119401171803,29.278622581157833,0.0010578450746834278,0.0011572656221687794,0.5074793589301407,9.009938040094312e-08,nan,True,121,83.57159472629428,0,0,0.018676587294607448,23391.60961241685,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.02
det,0.025,mach,0.0,20190,ffd,0.05,4,0.011705654466816845,0.008375427552293764,0.0020305250872881546,0.32228123610328296,0.12418022155761754,0.12133426887812693,0.1331238732194081,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,74.64449764695019,0.26679121097549796,74.91128885792568,26.140592026989907,0.1736474190838635,26.31423944607377,0.0008833231404423714,0.0010857782326638699,0.442410986404866,6.973391798422227e-08,nan,True,67,74.64449764695019,0,0,0.04407066456216862,14.263212501001103,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.05
det,0.025,mach,0.0,20190,ffd,0.1,3,0.015693688333960256,0.008375427552293764,0.0020305250872881546,0.360770888324792,0.12418022155761754,0.12133426887812693,0.2221137912501885,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,62.533522893994814,0.21089802900678478,62.7444209230016,25.83385658901534,0.17462104800506495,26.008477637020405,0.0008135569805745035,0.0010727079934440553,0.38740799599327147,6.379675632217641e-08,nan,True,37,62.533522893994814,0,0,0.0990318526541642,4.855810823889403,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.1
det,0.025,mach,0.0,20190,ffd,0.2,2,0.01957388903232798,0.008375427552293764,0.0020305250872881546,0.3800794332193185,0.12418022155761754,0.12133426887812693,0.2726404050623545,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,48.57965652504936,0.2074955408461392,48.7871520658955,28.661208725068718,0.17550951382145286,28.83671823889017,0.0008918950334191322,0.001109112985432148,0.3850121023133397,4.271982412262787e-08,nan,True,19,48.57965652504936,0,0,0.19137037085814487,2.4199909797052426,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.2
det,0.025,mach,0.0,20190,ffd,0.5,1,0.024123169198536486,0.008375427552293764,0.0020305250872881546,0.3896784698227638,0.12418022155761754,0.12133426887812693,0.2701635967668141,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,31.260396556928754,0.2049210541881621,31.465317611116916,26.373222910799086,0.17670205561444163,26.549924966413528,0.0008837827481329441,0.0011254376731812954,0.3836359060369432,5.655772739032727e-09,nan,True,8,31.260396556928754,0,0,0.3547672617950657,1.2534352501031238,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_ffd/gmin0.5
det,0.025,mach,0.0,20190,null,1e-06,18,0.014300087479009694,0.008375427552293764,0.0020305250872881546,0.2853108000008624,0.12418022155761754,0.12133426887812693,0.13839233405495957,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109.60682544898009,0.2442406520131044,109.8510661009932,25.62207785100327,0.17662644598749466,25.798704296990763,0.00027753898757509887,0.0010754310060292482,0.2455954150063917,0.6434970879593038,nan,False,8860,109.60682544898009,0,0,0.04098278734421317,4.750451471111777e+100,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin1e-06
det,0.025,mach,0.0,20190,null,2e-06,17,0.014244016159569502,0.008375427552293764,0.0020305250872881546,0.2923108590965713,0.12418022155761754,0.12133426887812693,0.13916208903551003,0.04863431468896161,0.019846657781363082,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,True,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,108.25642988272011,0.30657139187678695,108.5630012745969,25.62207785100327,0.17662644598749466,25.798704296990763,0.0003346349112689495,0.0010913060978055,0.30799964675679803,0.6640246708803375,nan,False,7860,108.25642988272011,0,0,0.030935624091639358,2.968080146355018e+95,outputs/Mach_interpolation/diamond/iso/hessian/det/drift_null/gmin2e-06
