hmode,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
eig,null,0.001,9,0.003365993194697674,0.008375427552293764,nan,0.13320431799908894,0.12418022155761754,nan,0.029495557730079922,0.04863431468896161,nan,75.83938236813992,0.2669863081537187,76.10636867629364,nan,nan,nan,0.0008844342082738876,0.0011126287281513214,0.26898558298125863,8.699160503056191e-08,True,817,75.83938236813992,0,0,0.0034119823921241878,1.436920057938987e+91,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.001
eig,null,0.002,8,0.0035880746646526993,0.008375427552293764,nan,0.15554693006614828,0.12418022155761754,nan,0.029515369067326658,0.04863431468896161,nan,73.82210655929521,0.27187731210142374,74.09398387139663,nan,nan,nan,0.0008872793987393379,0.001103774644434452,0.2738707079552114,9.342547002688661e-08,True,548,73.82210655929521,0,0,0.005464188173955209,5.167798727029192e+68,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.002
eig,null,0.005,7,0.004321522930794453,0.008375427552293764,nan,0.1824610974481775,0.12418022155761754,nan,0.03186246000533648,0.04863431468896161,nan,70.22297396790236,0.26820128317922354,70.49117525108159,nan,nan,nan,0.0008884700946509838,0.001132558099925518,0.27022483525797725,8.906913251394144e-08,True,329,70.22297396790236,0,0,0.011129998639018722,7.736381043214411e+40,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.005
eig,null,0.01,6,0.005468474485023259,0.008375427552293764,nan,0.19372132971950062,0.12418022155761754,nan,0.0417026771562791,0.04863431468896161,nan,65.49326957110316,0.2718434343114495,65.7651130054146,nan,nan,nan,0.0008898419328033924,0.001106509007513523,0.27384207816794515,5.386881896107809e-08,True,177,65.49326957110316,0,0,0.013680335665892402,8.208641840566714e+23,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.01
eig,null,0.02,5,0.007301443036077999,0.008375427552293764,nan,0.19945967020010924,0.12418022155761754,nan,0.06691197246306031,0.04863431468896161,nan,60.6277485829778,0.25715209590271115,60.88490067888051,nan,nan,nan,0.0008979020640254021,0.0011053252965211868,0.2591573870740831,5.68739721984457e-08,True,102,60.6277485829778,0,0,0.01973157782339628,652182535055.8245,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.02
eig,null,0.05,4,0.011271865874539,0.008375427552293764,nan,0.31134038580129086,0.12418022155761754,nan,0.14210279261100803,0.04863431468896161,nan,55.15636337688193,0.2632763171568513,55.41963969403878,nan,nan,nan,0.0009113689884543419,0.001123799942433834,0.26531366910785437,8.709937127093781e-08,True,59,55.15636337688193,0,0,0.05620778391442288,537.2664968902687,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.05
eig,null,0.1,3,0.015600819577805507,0.008375427552293764,nan,0.3597903959092488,0.12418022155761754,nan,0.220267640816684,0.04863431468896161,nan,47.50098537001759,0.25847800495103,47.75946337496862,nan,nan,nan,0.000886967871338129,0.0011402410455048084,0.2605070578865707,2.735407456100347e-09,True,35,47.50098537001759,0,0,0.12931834403189707,0.24391851892999825,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.1
eig,null,0.2,2,0.020401708941310222,0.008375427552293764,nan,0.3831151820945622,0.12418022155761754,nan,0.29834516602512395,0.04863431468896161,nan,37.7773578716442,0.2107629389502108,37.98812081059441,nan,nan,nan,0.0009079491719603539,0.0011222930625081062,0.2127952640876174,1.5369942651943802e-08,True,19,37.7773578716442,0,0,0.2559752287620697,0.1400238178724633,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.2
eig,null,0.5,1,0.02609673158952545,0.008375427552293764,nan,0.39404406748977516,0.12418022155761754,nan,0.30997400410790227,0.04863431468896161,nan,24.408402115106583,0.2521742768585682,24.66057639196515,nan,nan,nan,0.0009495420381426811,0.0011273100972175598,0.25425358302891254,2.9574501181350854e-09,True,8,24.408402115106583,0,0,0.4865956055151176,0.11611357473378528,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_null/gmin0.5
eig,oblique,1e-06,18,0.003465986988231905,0.008375427552293764,nan,0.09405211928016577,0.12418022155761754,nan,0.023168667507791653,0.04863431468896161,nan,204.41556543903425,0.22693893313407898,204.64250437216833,nan,nan,nan,0.000888490118086338,0.0010838443413376808,0.22891379008069634,0.0012699122269737018,False,8344,204.41556543903425,4001,3613,0.006648792145298718,5.411581682552864e+246,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin1e-06
